 #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
108 |[DHG2019] 1105                     |WV*|268.57371 -27.42694                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
109 |OGLE BLG-T2CEP-1245                |WV*|267.4038096178300 -39.4232075497753|     ~   |     ~   |     ~   |     ~   |12.469   |~              |   1|   0
110 |OGLE LMC125.2 18310                |WV*|075.89925 -68.17117                |     ~   |     ~   |17.755   |     ~   |16.948   |~              |   8|   0
111 |[RMB2008] G004.0156+00.3316        |WV*|268.40492 -25.32103                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
112 |[BCM2019] b333 116 51706           |WV*|266.719145 -29.175363              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
113 |OGLE BLG-T2CEP-1365                |WV*|279.0652830403000 -32.6988219922722|     ~   |     ~   |     ~   |     ~   |11.766   |~              |   1|   0
114 |Gaia DR3 5280412430713809024       |WV*|099.9180297718100 -67.1950427159000|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
115 |PSO J010.8416+41.5125              |WV*|010.84149963000 +41.51257928000    |     ~   |     ~   |22.14    |     ~   |     ~   |~              |   3|   0
116 |OGLE SMC-SC3 157235                |WV*|011.0516037924546 -72.9911932440570|     ~   |19.094   |18.499   |     ~   |17.688   |~              |   9|   0
117 |OGLE LMC-SC7 127752                |WV*|079.6488823705800 -69.7626936115500|     ~   |18.899   |18.492   |     ~   |18.032   |~              |  12|   0
118 |OGLE LMC537.18.006767              |WV*|070.4768830650634 -70.9441794659883|     ~   |     ~   |17.705   |     ~   |16.653   |~              |   2|   0
119 |V* CC Lyr                          |WV*|278.4892180861800 +31.6400519881100|     ~   |12.98    |12.46    |     ~   |     ~   |hF4mA:CH+1     |  54|   0
120 |PSO J010.5741+40.7996              |WV*|010.57415176000 +40.79961616000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
121 |CRTS J151216.1-375241              |WV*|228.0669202612204 -37.8786499353933|     ~   |14.888   |13.851   |13.713   |     ~   |~              |   2|   0
122 |Cl* NGC 2419 SAW V18               |WV*|114.5300181018900 +38.9128207441800|     ~   |19.414   |18.873   |     ~   |18.234   |~              |   9|   0
123 |CRTS J155107.4-242708              |WV*|237.7813832207515 -24.4520738080680|     ~   |15.479   |14.059   |13.800   |     ~   |~              |   1|   0
124 |OGLE BLG-T2CEP-565                 |WV*|265.0027378321400 -26.5198414009400|     ~   |     ~   |18.460   |     ~   |15.861   |~              |   5|   0
125 |V* V1519 Sco                       |WV*|267.6605897670100 -30.0635859140400|     ~   |     ~   |14.351   |     ~   |13.472   |~              |   2|   0
126 |EV* M31 V0060                      |WV*|009.51108 +40.00061                |     ~   |     ~   |22.40    |     ~   |     ~   |~              |   2|   0
127 |OGLE BLG-T2CEP-480                 |WV*|263.9502305490900 -30.4939217189600|     ~   |     ~   |     ~   |     ~   |16.940   |~              |   5|   0
128 |OGLE BLG-T2CEP-277                 |WV*|270.6549208719000 -28.5772898828300|     ~   |     ~   |14.398   |     ~   |12.755   |~              |  11|   0
129 |V* V445 Cen                        |WV*|187.8910536738900 -35.4899889539800|     ~   |     ~   |11.58    |     ~   |     ~   |~              |   7|   0
130 |OGLE BLG-T2CEP-1315                |WV*|278.0703430586538 -31.5232047853717|     ~   |     ~   |     ~   |     ~   |13.559   |~              |   1|   0
131 |Gaia DR3 5244228671278450944       |WV*|146.1557665861775 -67.6968723758620|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
