  #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
-----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
75   |SV* HV 2339                        |cC*|077.2063965806300 -68.9997329648800|     ~   |15.06    |14.299   |13.89    |13.406   |~              |  28|   0
76   |SV* HV 5533                        |cC*|075.7489283306400 -67.1849916463300|     ~   |     ~   |15.980   |     ~   |15.327   |~              |  12|   0
77   |V* V529 Cep                        |cC*|343.6971045331899 +57.7906491373400|     ~   |14       |     ~   |     ~   |     ~   |~              |   9|   0
78   |V* AX Vel                          |cC*|122.7055151905100 -47.6985635928700|     ~   |8.78     |8.16     |     ~   |     ~   |F6II           | 123|   0
79   |ASASSN-V J222004.81+560339.3       |cC*|335.0200445611500 +56.0609112441300|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   9|   0
80   |OGLE GD-T2CEP-244                  |cC*|239.2129084491500 -47.2485770348200|     ~   |     ~   |18.492   |     ~   |16.315   |~              |   4|   0
81   |OGLE SMC-CEP-965                   |cC*|011.8141787363300 -73.2140019297100|     ~   |18.012   |17.416   |     ~   |16.666   |~              |   7|   0
82   |OGLE SMC-CEP-3075                  |cC*|015.0187321623300 -72.7934503752700|     ~   |17.312   |16.875   |     ~   |16.279   |~              |   8|   0
83   |OGLE SMC-CEP-333                   |cC*|009.9564085015800 -74.5181531289000|     ~   |     ~   |16.953   |     ~   |16.246   |~              |   5|   0
84   |OGLE BLG-T2CEP-490                 |cC*|264.0224027220800 -28.1336955472700|     ~   |     ~   |18.336   |     ~   |14.760   |~              |   5|   0
85   |Gaia DR3 375318264077848448        |cC*|011.6801548666521 +42.0928601251464|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
86   |OGLE LMC-CEP-2621                  |cC*|084.2650699310700 -70.0643939039400|     ~   |     ~   |16.533   |     ~   |15.695   |~              |  10|   0
87   |OGLE SMC-CEP-4247                  |cC*|017.7616458377100 -72.9027844879500|     ~   |     ~   |16.534   |     ~   |15.941   |~              |   6|   0
88   |OGLE SMC-CEP-3919                  |cC*|016.7984815568200 -74.1923284106000|17.36    |17.63    |17.10    |     ~   |16.44    |~              |   4|   0
89   |Gaia DR2 6372109863708657280       |cC*|321.8733074581100 -71.7859761295600|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
90   |OGLE LMC-CEP-2983                  |cC*|085.5897402231600 -70.2492448193000|     ~   |     ~   |15.971   |     ~   |15.216   |~              |  14|   0
91   |OGLE SMC-CEP-3097                  |cC*|015.0621448344100 -73.6066723273400|     ~   |     ~   |16.380   |     ~   |15.761   |~              |   6|   0
92   |NSVS 13931316                      |cC*|277.4720054021833 -01.1104011112144|     ~   |17.698   |15.885   |15.058   |     ~   |~              |   3|   0
93   |ROTSE1 J170737.28+340032.6         |cC*|256.9053747093600 +34.0089948596200|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   5|   0
94   |OGLE LMC-CEP-2608                  |cC*|084.2365954186100 -70.1611759312900|     ~   |     ~   |15.495   |     ~   |14.802   |~              |  14|   0
95   |PSO J010.4137+40.6334              |cC*|010.4137651339600 +40.6333412971900|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
96   |OGLE LMC-CEP-2948                  |cC*|085.4483606786100 -70.2975118607300|     ~   |     ~   |17.962   |     ~   |17.345   |~              |   8|   0
97   |V* U Aql                           |cC*|292.3390061022400 -07.0440728084000|8.41     |7.71     |6.61     |     ~   |5.270    |F5I/II+B9.8V   | 288|   0
98   |V* VX Pup                          |cC*|113.1527040723300 -21.9304261559800|     ~   |9.87     |9.32     |8.97     |     ~   |F3IV           | 143|   0
99   |OGLE SMC-CEP-1904                  |cC*|013.1306680474200 -73.1491394303100|     ~   |     ~   |15.488   |     ~   |14.870   |~              |   3|   0
100  |OGLE SMC-CEP-1062                  |cC*|011.9736087423500 -72.6585638113900|     ~   |17.844   |17.491   |     ~   |16.904   |~              |   7|   0
101  |V* V1253 Cen                       |cC*|189.5159087552200 -38.5235098801100|     ~   |12.620   |12.003   |12.257   |     ~   |~              |  12|   0
102  |OGLE LMC-CEP-711                   |cC*|075.4766212070900 -68.0325483253500|     ~   |     ~   |16.140   |     ~   |15.456   |~              |   9|   0
103  |ATO J285.4711+44.5174              |cC*|285.4711506668800 +44.5174041791100|     ~   |13.990   |12.884   |12.502   |     ~   |K1.5IVe        |   5|   0
104  |OGLE LMC-CEP-833                   |cC*|076.0002750970800 -68.6485261316200|     ~   |16.03    |15.279   |14.86    |14.420   |~              |  15|   0
105  |ATO J053.5037+53.3809              |cC*|053.5037413133004 +53.3809253362978|     ~   |17.014   |15.383   |15.038   |     ~   |~              |   5|   0
106  |OGLE SMC-CEP-3773                  |cC*|016.4481819468400 -73.2123569055700|     ~   |     ~   |15.155   |     ~   |14.547   |~              |   4|   0
107  |OGLE SMC-CEP-4281                  |cC*|017.8947267102300 -72.6837673648500|     ~   |     ~   |16.338   |     ~   |15.784   |~              |   4|   0
108  |OGLE LMC-CEP-666                   |cC*|075.2586934134900 -69.3359242640100|     ~   |16.49    |16.000   |15.65    |15.385   |~              |  10|   0
109  |OGLE BLG-CEP-27                    |cC*|271.5749453969700 -29.7514288252800|     ~   |     ~   |15.673   |15.651   |14.644   |~              |   7|   0
110  |OGLE LMC-CEP-4044                  |cC*|082.1523736334100 -63.8128939307100|     ~   |     ~   |16.994   |     ~   |16.355   |~              |   3|   0
111  |OGLE SMC-CEP-2770                  |cC*|014.5106252807900 -71.4159119396200|     ~   |17.492   |17.232   |     ~   |16.750   |~              |   5|   0
112  |OGLE LMC-CEP-4131                  |cC*|083.2456309519400 -65.6459090152900|     ~   |     ~   |16.180   |     ~   |15.428   |~              |   6|   0
113  |ZTF J210103.28+492627.3            |cC*|315.2637187616879 +49.4409155124033|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
114  |OGLE GD-CEP-12                     |cC*|166.2446222253400 -62.0312244103500|     ~   |     ~   |16.577   |     ~   |14.773   |~              |   7|   0
115  |V* V733 Cyg                        |cC*|323.5144863990000 +53.3100959734300|     ~   |14.367   |12.688   |12.280   |     ~   |~              |  12|   0
116  |ATO J323.9446+56.7664              |cC*|323.9447111883258 +56.7664715455119|     ~   |15.601   |14.243   |13.883   |     ~   |~              |   6|   0
117  |ZTF J210148.96+472744.0            |cC*|315.4540202775046 +47.4622341674536|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
118  |SV* HV 12717                       |cC*|070.8368630961300 -69.2299472168200|     ~   |15.48    |14.733   |14.20    |13.950   |~              |  32|   0
119  |OGLE GD-CEP-354                    |cC*|140.5528388120000 -53.0641298233000|     ~   |     ~   |14.198   |     ~   |12.554   |~              |   9|   0
120  |Gaia DR2 4684705101027717248       |cC*|012.8462226636600 -74.9881675164200|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
121  |OGLE SMC-CEP-2530                  |cC*|014.0768996527687 -73.0630793025078|     ~   |     ~   |17.223   |     ~   |16.598   |~              |   3|   0
122  |OGLE LMC-CEP-3146                  |cC*|086.5927551803200 -69.9221920878400|     ~   |     ~   |16.269   |     ~   |15.342   |~              |   9|   0
123  |OGLE LMC-CEP-3642                  |cC*|077.5056365719300 -65.5654474807900|     ~   |     ~   |17.250   |     ~   |16.602   |~              |   3|   0
124  |Gaia DR3 375337741754502912        |cC*|011.4242801411571 +42.3586320615083|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
125  |OGLE LMC-CEP-3924                  |cC*|080.5998969011100 -66.6539169333800|     ~   |     ~   |16.501   |     ~   |15.904   |~              |   3|   0
126  |OGLE LMC-CEP-3841                  |cC*|079.4856783409000 -65.5487351873700|     ~   |     ~   |16.040   |     ~   |15.285   |~              |   7|   0
127  |OGLE SMC-CEP-4186                  |cC*|017.5289314744500 -72.9480921639700|     ~   |     ~   |15.772   |     ~   |15.133   |~              |   5|   0
128  |OGLE SMC-CEP-3333                  |cC*|015.5033273191700 -71.8544095075600|     ~   |     ~   |17.170   |     ~   |16.621   |~              |   5|   0
129  |OGLE LMC-CEP-1500                  |cC*|079.4171009011100 -69.6983167668600|     ~   |16.19    |15.613   |15.18    |14.943   |~              |  11|   0
130  |PSO J011.2055+42.0885              |cC*|011.2056219331100 +42.0885637449800|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
131  |[MAP97] 61                         |cC*|010.7355499825800 +41.0456149248100|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
132  |OGLE LMC-CEP-4665                  |cC*|081.5189422304500 -60.9887699589000|     ~   |     ~   |     ~   |     ~   |14.890   |~              |   1|   0
133  |[DHG2019] 608                      |cC*|259.46725 -38.40239                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
134  |[DHG2019] 476                      |cC*|252.92546 -44.16736                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
135  |Gaia DR3 2021269784865543296       |cC*|294.6513505250113 +25.1592816831250|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
136  |OGLE LMC-CEP-1819                  |cC*|080.7988935642808 -70.8927141054706|     ~   |     ~   |16.198   |     ~   |15.518   |~              |  10|   0
137  |SV* HV 5571                        |cC*|076.5952957501000 -67.9759460552100|     ~   |     ~   |16.159   |     ~   |15.481   |~              |  10|   0
138  |[VRJ2006] M31V-J00425196+4135138   |cC*|010.71644636000 +41.58715501000    |     ~   |22.498   |21.508   |     ~   |     ~   |~              |   2|   0
139  |V* T Vul                           |cC*|312.8676599034900 +28.2505054508200|6.89     |6.49     |5.77     |     ~   |5.061    |F5Ib+A0.8V     | 348|   0
140  |[DHG2019] 623                      |cC*|259.83004 -38.69303                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
141  |OGLE SMC-CEP-1254                  |cC*|012.2668496386600 -73.0940765235700|     ~   |17.706   |17.239   |     ~   |16.592   |~              |   6|   0
142  |SV* HV 2089                        |cC*|017.4039698938700 -72.9615839140600|     ~   |     ~   |16.313   |     ~   |15.598   |~              |   7|   0
143  |OGLE BLG-CEP-92                    |cC*|269.3060026660346 -26.1531202213492|     ~   |     ~   |     ~   |     ~   |18.268   |~              |   5|   0
144  |OGLE LMC-CEP-739                   |cC*|075.5826035399800 -67.9582289956800|     ~   |     ~   |16.122   |     ~   |15.442   |~              |   9|   0
145  |OGLE LMC-CEP-569                   |cC*|074.8134399834400 -70.0584939143100|     ~   |     ~   |15.546   |     ~   |14.935   |~              |   6|   0
146  |[DHG2019] 299                      |cC*|239.60108 -53.79689                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
147  |ASAS J174603-3528.1                |cC*|266.5132543846400 -35.4695835520800|     ~   |12.05    |10.94    |     ~   |     ~   |~              |   4|   0
148  |PSO J010.5899+41.5711              |cC*|010.58996733000 +41.57109542000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
149  |[DCT2018] F20b 13994               |cC*|112.35201200 -30.97818000          |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
150  |OGLE SMC-CEP-241                   |cC*|009.1706028668167 -74.0481537708650|     ~   |     ~   |17.658   |     ~   |17.141   |~              |   4|   0
151  |OGLE SMC-CEP-1182                  |cC*|012.1403012063100 -72.9406603332300|     ~   |17.825   |17.414   |     ~   |16.623   |~              |   7|   0
152  |Gaia DR2 4685476580236817664       |cC*|012.0528659773100 -74.7597317758600|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
153  |OGLE LMC-CEP-3789                  |cC*|078.9821687654300 -66.0884121566500|     ~   |     ~   |15.550   |     ~   |14.889   |~              |   3|   0
154  |OGLE GD-CEP-1701                   |cC*|183.41137 -65.73547                |     ~   |     ~   |18.236   |     ~   |16.76    |~              |   1|   0
155  |OGLE LMC-CEP-2114                  |cC*|082.2261018495900 -69.1703137761900|     ~   |     ~   |15.034   |     ~   |14.378   |~              |   5|   0
156  |OGLE SMC-CEP-4885                  |cC*|022.2594221352000 -73.4801383648000|     ~   |     ~   |17.985   |     ~   |17.325   |~              |   4|   0
157  |V* FG Mon                          |cC*|106.7856210245400 -07.7951313431600|     ~   |14.44    |13.182   |     ~   |11.720   |~              |  53|   0
158  |BASW 228                           |cC*|010.0317276561500 +40.6675297584100|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
159  |DIRECT V490 M31B                   |cC*|011.0962890108500 +41.5883005814500|     ~   |21.198   |20.273   |     ~   |19.07    |~              |   7|   0
160  |Gaia DR3 2028768729057736704       |cC*|298.5776758898716 +29.1278094893239|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
161  |OGLE SMC-CEP-3858                  |cC*|016.6462357199200 -73.3850636395900|     ~   |     ~   |16.373   |     ~   |15.828   |~              |   3|   0
162  |OGLE LMC-CEP-1474                  |cC*|079.27288 -69.01422                |     ~   |19.65    |19.014   |     ~   |18.302   |~              |   6|   0
163  |PSO J010.0485+40.9076              |cC*|010.0484906331300 +40.9075983581400|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
164  |[DHG2019] 256                      |cC*|235.23700 -54.98136                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
165  |OGLE LMC-CEP-2561                  |cC*|084.1141746520400 -68.1378990075500|     ~   |     ~   |16.812   |     ~   |16.142   |~              |   6|   0
166  |OGLE SMC-CEP-3886                  |cC*|016.7291545234900 -71.9779568748100|     ~   |     ~   |16.524   |     ~   |15.873   |~              |   5|   0
167  |OGLE LMC-CEP-111                   |cC*|072.2672829186800 -69.3006508588300|     ~   |     ~   |16.969   |     ~   |16.256   |~              |   7|   0
168  |EV* M31 V0722                      |cC*|010.50812 +40.95786                |     ~   |     ~   |21.40    |     ~   |     ~   |~              |   2|   0
169  |[FRS2006] WeCAPP V00098            |cC*|010.8375404148325 +41.1371558512325|     ~   |     ~   |     ~   |20.59    |     ~   |~              |   3|   0
170  |OGLE LMC-CEP-2186                  |cC*|082.5979304361300 -70.0022435370000|     ~   |17.41    |16.896   |16.53    |16.236   |~              |  11|   0
171  |OGLE SMC-CEP-3138                  |cC*|015.1345777273500 -73.3792166922200|     ~   |     ~   |16.887   |     ~   |16.242   |~              |   5|   0
172  |OGLE BLG-T2CEP-966                 |cC*|259.4940280876600 -30.7893252103092|     ~   |     ~   |     ~   |     ~   |15.947   |~              |   2|   0
173  |[DHG2019] 747                      |cC*|262.08004 -35.34681                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
174  |OGLE SMC-CEP-4984                  |cC*|029.0277332523500 -74.6534869807900|     ~   |     ~   |     ~   |     ~   |16.845   |~              |   1|   0
175  |ATO J303.2877+32.6197              |cC*|303.2877737666417 +32.6197682789747|     ~   |     ~   |     ~   |14.217   |     ~   |~              |   5|   0
176  |PSO J010.0365+40.9904              |cC*|010.03649450000 +40.99034600000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
177  |OGLE LMC-CEP-4325                  |cC*|085.9206530623500 -67.5760506052300|     ~   |     ~   |16.325   |     ~   |15.658   |~              |   4|   0
178  |OGLE GD-CEP-908                    |cC*|200.9872720018900 -64.5622988470900|     ~   |     ~   |17.445   |     ~   |15.264   |~              |   5|   0
179  |OGLE SMC-CEP-3805                  |cC*|016.5205592539400 -72.3094082351700|     ~   |17.653   |17.362   |     ~   |16.862   |~              |   5|   0
180  |[DCT2018] F20c 31742               |cC*|112.8745864620288 -28.4908444511961|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
181  |V* BZ Tuc                          |cC*|010.4310339385100 -73.7233012387200|     ~   |13.290   |12.160   |11.613   |10.911   |G0Iab          |  73|   0
182  |ATO J290.1907+18.1331              |cC*|290.1907443091708 +18.1330839144511|     ~   |     ~   |     ~   |14.388   |12.109   |~              |   6|   0
183  |OGLE GD-CEP-27                     |cC*|092.9318300575500 +16.5977705066600|     ~   |     ~   |17.084   |     ~   |14.541   |~              |   6|   0
184  |OGLE SMC-CEP-3495                  |cC*|015.8471505032900 -72.1081303029000|     ~   |17.122   |16.537   |     ~   |15.825   |~              |   9|   0
185  |CRTS J155146.5-065422              |cC*|237.9441362469500 -06.9061971356600|     ~   |     ~   |15.06    |     ~   |     ~   |~              |   8|   0
186  |OGLE SMC-CEP-859                   |cC*|011.5917015291600 -71.8319946277300|     ~   |     ~   |17.280   |     ~   |16.792   |~              |   4|   0
