\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 013.3687499331700 -74.5143467894300
 270.09808         -20.77969        
 013.5946293655200 -73.1291525504700
 190.5643283102300 -66.0514699950100
 085.3382732827900 -74.1666844432100
 072.8462559550500 -70.6333257003400
 109.0261038487800 -20.8835637605700
 011.2432378548000 +41.6840531068600
 014.6788583512000 -72.9397227530000
 013.5776674903400 -73.3687740963100
 016.0925670421358 -74.0109305733014
 010.1948065803100 -73.9636666606000
 012.8754868453300 -73.3560905847900
 077.7224992204500 -66.5758397664300
 149.85350         +30.77336        
 014.8496730505500 -72.6149668459900
 012.2125518033000 -73.5706020019700
 092.0336305857400 -68.9497626664800
 082.6395627233500 -66.0720951063400
 018.4623612463100 -72.0625785936800
 014.4155486177700 -73.2771756353400
 011.6119492899500 -73.0687985749200
 016.4509342199700 +61.7549378196300
 017.0658698239400 -72.1837967601400
 081.8690523623000 -67.3535570034300
 010.1137467705200 -72.9976228435600
 016.1208427575300 -73.5648942375400
 078.1493692678900 -65.5274116531400
 011.5946370932696 +42.3312324288219
 293.3354997623313 +20.2848564989397
 079.1055188140100 -68.8308612520700
 009.34221         +39.78325        
 009.9975323535200 +40.5450445037400
 076.6649111294000 -70.7229289172200
 083.0429694025500 -66.7807390960300
 081.7503809722100 -67.4560741981000
 357.7653591520259 +66.3892047994328
 292.7647561869345 +20.7166871799394
 010.91931712000   +41.21256142000  
 013.3659318318000 -73.4170323782900
 308.5057805206200 -42.4253458903400
 080.7686897021200 -70.5205142797400
 234.9809880289500 -57.8022799225200
 297.5151902293420 +27.4628448089017
 231.6615271195100 -56.7487893023000
 292.3540424872500 +19.1564043180700
 075.4457013470900 -68.6944296967000
 053.5926926662500 +54.6072446541100
 016.4077158513900 -71.8433172385400
 009.70500845000   +40.65260783000  
 077.9916564355500 -71.1482392052000
 253.0321163221899 -44.1060933501300
 228.03704         -57.80306        
 297.1104154097500 +21.5373867523000
 010.16108         +40.52861        
 010.30264431000   +41.40881333000  
 008.7987225006100 -73.7217869453400
 265.3330934337800 -28.7377216412700
 076.7601462534200 -68.8929929689300
 017.9080474571100 -73.4162177191500
 102.7778491205400 -11.3374444369800
 078.3422679534300 -65.5034731192600
 082.8378403732200 -67.9964125044000
 193.9464914590600 -64.6916431784200
 079.4560589914800 -70.5153414304200
 183.1788200764300 -62.7459441490500
 160.7629182438771 -59.0247056827619
 277.5353025128109 -12.6681487710747
 076.4682448881300 -69.1583110816400
 274.5731420609300 -53.3721626175200
 204.0887860003300 -64.1261149167300
 085.7878839926700 -69.6107861685700
